id,ep,pic,num,belong,name,gender,birth,address,job,level,career,wealth,military,tax_total,tax_5y,tax_defalt,crim_cnt,candi_cnt,detail_url,gong_url
881,논산시계룡시금산군,http://info.nec.go.kr/photo_20200415/Gsg4409/Hb100137771/gicho/thumbnail.100137771.JPG,7,국가혁명배당금당,"명소윤
(明玿奫)",여,"1965.12.03
(54세)",대전광역시 유성구 지족로,무직,동국대학교 회계학과 졸업,(전)은행원,1098972,해당없음(비대상),61886,0,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137771,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137771#none
882,당진시,http://info.nec.go.kr/photo_20200415/Gsg4416/Hb100136656/gicho/thumbnail.100136656.JPG,1,더불어민주당,"어기구
(魚基龜)",남,"1963.01.10
(57세)",충청남도 당진시 밤절로,제20대 국회의원,"오스트리아 빈 경제대학교 졸업(사회경제학 박사, 2000.5 ~ 2002.2)","(전)더불어민주당 원내부대표
(현)더불어민주당 충남도당 위원장",507743,군복무를 마친사람,18243,0,0,없음,2회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100136656,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136656#none
883,당진시,http://info.nec.go.kr/photo_20200415/Gsg4416/Hb100137351/gicho/thumbnail.100137351.JPG,2,미래통합당,"김동완
(金東完)",남,"1958.06.20
(61세)",충청남도 당진시 원당로,정당인,가천대학교 대학원 행정학과 졸업(행정학 박사),(전)당진시 19대 국회의원,928827,군복무를 마친사람,29788,0,0,없음,2회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137351,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137351#none
884,당진시,http://info.nec.go.kr/photo_20200415/Gsg4416/Hb100136991/gicho/thumbnail.100136991.JPG,7,우리공화당,"전병창
(全炳彰)",남,"1955.08.05
(64세)",충청남도 당진시 밤절로,행정사,한서대학교 대학원 행정학과 졸업(행정학박사),"(전)친반국민대통합 제20대 당진시국회의원후보
(현)우리공화당 대변인",819319,군복무를 마친사람,17156,0,0,없음,1회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100136991,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100136991#none
885,당진시,http://info.nec.go.kr/photo_20200415/Gsg4416/Hb100135125/gicho/thumbnail.100135125.JPG,8,민중당,"김진숙
(金珍淑)",여,"1974.07.26
(45세)",충청남도 당진시 운곡로,정당인,한신대학교 철학과 졸업,"(전)당진어울림여성회 회장
(현)충남 여성엄마민중당 위원장",826389,해당없음(비대상),7425,326,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135125,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135125#none
886,당진시,http://info.nec.go.kr/photo_20200415/Gsg4416/Hb100135698/gicho/thumbnail.100135698.JPG,9,국가혁명배당금당,"박경재
(朴耿材)",남,"1960.10.29
(59세)",충청남도 당진시 송악읍 기지시1길,한미형태양광 근무,우석대학교 영어영문학과 졸업,"(전)대원출판사 부장
(현)국가혁명배당금당 당진시 당협위원장",79712,군복무를 마친사람,1915,0,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135698,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135698#none
887,당진시,http://info.nec.go.kr/photo_20200415/Gsg4416/Hb100134806/gicho/thumbnail.100134806.JPG,10,무소속,"정용선
(鄭龍仙)",남,"1964.11.13
(55세)",충청남도 당진시 밤절로,세한대학교 초빙교수,경찰대학교 졸업,"(전)대통령 비서실 행정관
(전)충남·경기경찰청장",1736273,군복무를 마친사람,34699,0,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100134806,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100134806#none
888,홍성군예산군,http://info.nec.go.kr/photo_20200415/Gsg4413/Hb100135265/gicho/thumbnail.100135265.JPEG,1,더불어민주당,"김학민
(金學民)",남,"1960.09.01
(59세)",충청남도 예산군 예산읍 군청로3길,순천향대학교 교수,"미국 텍사스대학교 댈러스캠퍼스 대학원 졸업(정치경제학 박사, 1990.09.~1994.08.)","(현)충청남도 정책특별보좌관(경제)
(현)더불어민주당 혁신도시추진특별위원회 위원장",1166451,군복무를 마친사람,126729,59016,0,없음,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100135265,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100135265#none
889,홍성군예산군,http://info.nec.go.kr/photo_20200415/Gsg4413/Hb100137597/gicho/thumbnail.100137597.JPG,2,미래통합당,"홍문표
(洪文杓)",남,"1947.10.05
(72세)",충청남도 홍성군 홍성읍 내포로146번길,국회의원,한양대학교행정대학원 사회복지학과 졸업(행정학 석사),"(전)국회예산결산특별위원회 위원장
(현)국회교육위원회 위원장",1107216,군복무를 마친사람,46223,0,0,1건,7회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137597,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137597#none
890,홍성군예산군,http://info.nec.go.kr/photo_20200415/Gsg4413/Hb100137800/gicho/thumbnail.100137800.JPG,7,국가혁명배당금당,"윤상노
(尹相魯)",남,"1968.10.03
(51세)",충청남도 서산시 군진5길,경기가설재(주) 대표,"대한체육과학대학(현, 용인대학교) 경영학과 졸업",(전) 대정초등학교 동창회장,2603281,군복무를 마친사람,4911146,988145,555008,1건,0회,http://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020200415&huboId=100137800,http://policy.nec.go.kr/plc/popup/initUMAPopup.do?sgId=20200415&subSgId=220200415&huboid=100137800#none
